ردیف,تصویر,تاریخ,دسته‌بندی‌ها,متن پرامپت,نام فایل تصویر,عنوان تصویر
1,,05.07.2026 17:43:15,دریا / ساحل، پرتره / سلفی,"A portrait of a young male with a neat beard and short dark hair styled in a textured quiff, measuring two to three inches on top with faded half-inch sides. His hair is pushed upward and forward with matte clay, showing a slight natural wave, visible natural growth patterns, no harsh part, and subtle flyaways catching against the sky on the left edge. He holds a deliberately posed, serious expression with a closed mouth, neutral eyebrows, and a direct gaze facing the camera. Wearing a crisp white t-shirt and jeans, he stands with level shoulders, his weight leaning slightly to the right. His left hand is tucked into his front left jeans pocket with the thumb hidden, revealing a silver watch on his wrist, while his relaxed right hand rests naturally on a brushed metal top rail with fingers spread and draped gently over the downward edge of a pristine glass balcony railing. This foreground glass and metal barrier sweeps from the bottom left toward the center, opening up to a deep outdoor spatial depth. The blurred midground features weathered urban buildings constructed from raw, cool blue-gray matte concrete with patchy, slightly textured facades, dense overlapping rooftops, and scattered glowing interior lights. In the deep background on the top left, the aged historic stone structure of the Galata Tower stands prominently, its conical top illuminated. The scene is bathed in mixed, diffused frontal soft fill flash of moderate intensity and neutral temperature, creating a calm, sophisticated twilight mood. Subtle highlights gently illuminate the subject's forehead and nose bridge, while soft, gradual gray shadows fall under his chin and behind his right arm. The complementary color palette balances the crisp white of his shirt with a dominant twilight blue atmosphere and delicate accents of sunset peach along a warm horizon gradient. Captured as a tack-sharp, grain-free digital photograph using an 85mm lens at f/2.8 for a medium depth of field that smoothly blurs the cityscape, this straight-on perspective is influenced by clean urban lifestyle photography and features post-processing with cool shadows and subtle skin smoothing, all perfectly framed in a 3:4 aspect ratio.",0001.jpg,مردی، با تی‌شرت سفید، تکیه‌داده، در فضای شهری، هنگام غروب آفتاب
2,,05.07.2026 17:49:57,پرتره / سلفی,"Ultra-realistic black-and-white editorial portrait, low-angle shot, 4:5 aspect ratio. The man fills about 85-90% of the frame in a medium close-up, showing the head, neck, shoulders, upper chest, upper arms, and part of the forearms, with only a small amount of empty space above his head. A handsome athletic man wearing a plain black fitted ribbed crew-neck short-sleeve sweater. His arms are loosely crossed. His body is turned slightly (20°) while his head is turned slightly to the left and tilted upward, with his eyes looking off-camera toward the upper left, giving a calm, confident, thoughtful expression. Strong hard natural sunlight from the upper left illuminates the left side of his hair, forehead, eye, cheek, nose, beard, neck, shoulder, and front arm, while the right side of his face and ear fall into deep shadow, creating crisp, high-contrast facial definition. Clean plain gray sky background, no distractions. High-contrast monochrome with deep blacks, bright highlights, sharp skin texture, fine-art fashion photography, ultra-realistic, premium editorial quality.",0002.jpg,مردی، با نگاهی به دوردست (سبک ادیتوریال و سیاه‌وسفید)
3,,05.07.2026 17:55:03,مد و فشن (ادیتوریال)، محصول / لایف‌استایل، پرتره / سلفی,"Create a cinematic anime inspired streetwear poster featuring a confident young man standing in the center in a relaxed pose with one hand in pocket. He wears black sunglasses, a light blue oversized denim shirt layered over a white tank top, faded charcoal washed jeans, white sneakers, silver chain necklace, and a modern urban hairstyle with trimmed beard.
Background features a massive vintage textured Straw Hat Pirates skull logo from One Piece, blending into a gritty brown parchment wall with distressed textures, scratches, dust, and dark vignette edges. Add hand drawn anime doodles of Monkey D. Luffy around the composition with rough sketch aesthetics.
Poster design should feel like a premium Gen Z fashion editorial mixed with anime street culture. Include cinematic shadows, moody warm brown tones, grunge overlays, faded ink textures, and dramatic contrast.
Typography elements:
Large distressed bold text saying “OUTFIT CHECK”
Small handwritten phrases and pirate themed quotes
Japanese vertical typography on the side
Barcode element at bottom corner
“Gear Fifth” graffiti text
Minimal fashion magazine layout styling
Style: ultra detailed, anime streetwear editorial, cinematic poster art, gritty urban fashion campaign, textured vintage paper aesthetic, modern hypebeast design, high contrast lighting, premium composition, realistic human proportions, sharp focus.
Aspect ratio: 4:5 portrait.",0003.jpg,یک پوستر، ایستاده، در خیابان شهر (سبک سینمایی و ادیتوریال)
4,,05.07.2026 17:58:23,پرتره / سلفی,"Create a cinematic ultra-realistic portrait of the reference person standing confidently in the center of an outdoor basketball court at blue hour after rainfall. She wears an oversized bright red cropped t-shirt, distressed blue denim jeans, and red-white sneakers. Her hair is tied in a messy bun decorated with white flowers. She raises one hand to her forehead with a calm, emotional expression. The background features a basketball hoop, concrete walls, dramatic storm clouds, and multiple motion-blurred pedestrians walking around her while she remains perfectly sharp. Moody teal and orange color grading, shallow depth of field, natural cinematic lighting, high contrast, 85mm lens, ultra-detailed, 8K, realistic skin texture, professional photography. Preserve the exact facial identity of the reference image.",0004.jpg,زنی، با تی‌شرت قرمز، در حال قدم‌زدن، در یک زمین بسکتبال، در ساعت آبی غروب (سبک سینمایی و فوق واقع‌گرایانه)
5,,05.07.2026 20:35:30,مد و فشن (ادیتوریال)، پرتره / سلفی,"ULTRA-REALISTIC HIGH-FASHION EDITORIAL PHOTOGRAPHY — VOGUE / L'OFFICIEL / HYPEBEAST CAMPAIGN QUALITY
Create an ultra-photorealistic luxury fashion editorial featuring a stylish young woman in a full-body composition, captured with the visual sophistication of an international Vogue campaign. The image should embody effortless elegance, premium street luxury, and contemporary minimalist fashion storytelling.
The model is seated naturally against a monumental architectural wall made of large warm-brown textured stone panels arranged in a perfectly aligned geometric grid. The environment is clean, uncluttered, and architecturally minimal, allowing the model to dominate the composition while maintaining abundant negative space and striking leading lines.
She has short, softly tousled dark brown wavy hair with delicate feathered bangs framing her face...",0005.jpg,زنی، با موهای موج‌دار، در خیابان شهر (سبک ادیتوریال و لوکس)
6,,05.07.2026 20:35:30,مد و فشن (ادیتوریال)، پرتره / سلفی,"ULTRA-REALISTIC HIGH-FASHION EDITORIAL PHOTOGRAPHY — VOGUE / L'OFFICIEL / HYPEBEAST CAMPAIGN QUALITY
Create an ultra-photorealistic luxury fashion editorial featuring a stylish young woman in a full-body composition, captured with the visual sophistication of an international Vogue campaign. The image should embody effortless elegance, premium street luxury, and contemporary minimalist fashion storytelling.
The model is seated naturally against a monumental architectural wall made of large warm-brown textured stone panels arranged in a perfectly aligned geometric grid. The environment is clean, uncluttered, and architecturally minimal, allowing the model to dominate the composition while maintaining abundant negative space and striking leading lines.
She has short, softly tousled dark brown wavy hair with delicate feathered bangs framing her face...",0006.jpg,زنی، با موهای موج‌دار، در خیابان شهر (سبک ادیتوریال و لوکس)
7,,05.07.2026 22:36:52,پرتره / سلفی,"Create image: A hyper-photorealistic shot of the same female subject in the attached image, preserving exact facial features and proportions with high accuracy.
Main subject / quality details:
Subject lying sideways on a textured white bed, upper body slightly lifted, long straight dark brown hair with soft bangs cascading naturally across the pillow and chest. Skin appears dewy with visible pores, subtle sheen on cheeks and nose, glossy lips, soft blush concentrated on cheekbones.
Expression or mood:
Soft seductive gaze directly into camera, relaxed eyelids, slightly parted lips, intimate and candid bedroom mood.
Camera settings:
Shot on an early-2000s CCD digital camera, direct on-camera flash, harsh flash falloff, bright hotspot on face and upper chest, slightly overexposed highlights, visible digital grain, imperfect snapshot frami...",0007.jpg,زنی، با موهای قهوه‌ای تیره، در اتاق خواب (سبک فوق واقع‌گرایانه)
8,,05.07.2026 22:36:52,پرتره / سلفی,"Create image: A hyper-photorealistic shot of the same female subject in the attached image, preserving exact facial features and proportions with high accuracy.
Main subject / quality details:
Subject lying sideways on a textured white bed, upper body slightly lifted, long straight dark brown hair with soft bangs cascading naturally across the pillow and chest. Skin appears dewy with visible pores, subtle sheen on cheeks and nose, glossy lips, soft blush concentrated on cheekbones.
Expression or mood:
Soft seductive gaze directly into camera, relaxed eyelids, slightly parted lips, intimate and candid bedroom mood.
Camera settings:
Shot on an early-2000s CCD digital camera, direct on-camera flash, harsh flash falloff, bright hotspot on face and upper chest, slightly overexposed highlights, visible digital grain, imperfect snapshot frami...",0008.jpg,زنی، با موهای قهوه‌ای تیره، در اتاق خواب (سبک فوق واقع‌گرایانه)
9,,05.07.2026 22:36:52,پرتره / سلفی,"Create image: A hyper-photorealistic shot of the same female subject in the attached image, preserving exact facial features and proportions with high accuracy.
Main subject / quality details:
Subject lying sideways on a textured white bed, upper body slightly lifted, long straight dark brown hair with soft bangs cascading naturally across the pillow and chest. Skin appears dewy with visible pores, subtle sheen on cheeks and nose, glossy lips, soft blush concentrated on cheekbones.
Expression or mood:
Soft seductive gaze directly into camera, relaxed eyelids, slightly parted lips, intimate and candid bedroom mood.
Camera settings:
Shot on an early-2000s CCD digital camera, direct on-camera flash, harsh flash falloff, bright hotspot on face and upper chest, slightly overexposed highlights, visible digital grain, imperfect snapshot frami...",0009.jpg,زنی، با موهای قهوه‌ای تیره، در اتاق خواب (سبک فوق واقع‌گرایانه)
10,,06.07.2026 00:33:43,منظره / طبیعت، پرتره / سلفی,"A mountain lifestyle portrait captured after the rain, evoking the atmosphere of a cool evening; a candid shot using flash.
Create an image without altering facial features. Strictly maintain 100% likeness to the reference. Preserve the shape of the face, eyes, eyebrows, nose, lips, proportions, hair color, and all unique characteristics exactly as they appear in the reference image. No smoothing, no retouching, and no changes to facial geometry. Natural skin texture with visible pores.
Vertical 4:5 format. Shot on a Canon G7X Mark III with flash. Camera at chest level; a hip-up shot. Slight digital grain, subdued exposure, no filters, no text or watermarks. Do not blur the background.
A young woman stands in a green mountain meadow. Her body is turned slightly to the left, while her head is turned to the right. She is smiling softly, g...",0010.jpg,زنی، با لبخند، در دل کوهستان، بعد از باران
11,,06.07.2026 00:33:43,منظره / طبیعت، پرتره / سلفی,"A mountain lifestyle portrait captured after the rain, evoking the atmosphere of a cool evening; a candid shot using flash.
Create an image without altering facial features. Strictly maintain 100% likeness to the reference. Preserve the shape of the face, eyes, eyebrows, nose, lips, proportions, hair color, and all unique characteristics exactly as they appear in the reference image. No smoothing, no retouching, and no changes to facial geometry. Natural skin texture with visible pores.
Vertical 4:5 format. Shot on a Canon G7X Mark III with flash. Camera at chest level; a hip-up shot. Slight digital grain, subdued exposure, no filters, no text or watermarks. Do not blur the background.
A young woman stands in a green mountain meadow. Her body is turned slightly to the left, while her head is turned to the right. She is smiling softly, g...",0011.jpg,زنی، با لبخند، در دل کوهستان، بعد از باران
12,,06.07.2026 00:33:43,منظره / طبیعت، پرتره / سلفی,"A mountain lifestyle portrait captured after the rain, evoking the atmosphere of a cool evening; a candid shot using flash.
Create an image without altering facial features. Strictly maintain 100% likeness to the reference. Preserve the shape of the face, eyes, eyebrows, nose, lips, proportions, hair color, and all unique characteristics exactly as they appear in the reference image. No smoothing, no retouching, and no changes to facial geometry. Natural skin texture with visible pores.
Vertical 4:5 format. Shot on a Canon G7X Mark III with flash. Camera at chest level; a hip-up shot. Slight digital grain, subdued exposure, no filters, no text or watermarks. Do not blur the background.
A young woman stands in a green mountain meadow. Her body is turned slightly to the left, while her head is turned to the right. She is smiling softly, g...",0012.jpg,زنی، با لبخند، در دل کوهستان، بعد از باران
13,,06.07.2026 13:05:33,پرتره / سلفی,"Ultra-realistic cinematic street portrait of a young person standing perfectly still in the center of a busy pedestrian crossing at night, softly smiling at the camera while surrounded by fast-moving crowds captured with motion blur. Urban Japanese city atmosphere with glowing neon signs, warm streetlights, and a symmetrical road leading into the distance. The subject is sharply in focus while everyone else appears blurred from long exposure, creating a peaceful “stillness in chaos” effect. Wearing an oversized black jacket over a white button-up shirt, olive green cargo pants, and black Converse sneakers. Eye-level perspective, centered composition, shallow depth of field, soft natural skin tones, subtle film grain, warm cinematic color grading, realistic lighting, highly detailed facial features, 35mm lens, f/2.0, HDR, ultra-photorealist...",0013.jpg,فردی، با ژاکت مشکی، با لبخند، در خیابان شهر، در شب (سبک سینمایی و فوق واقع‌گرایانه)
